Rank,Univercity,Region,Course,Type
1,University of Amsterdam,Netherlands,1,Top25
2,University of Southern California,USA,1,Top25
3,The London School of Economics and Political Science (LSE),UK,1,Top25
4,Stanford University,USA,1,Top25
5,University of Texas at Austin,USA,2,Top25
6,Nanyang Technological University,Singapore,1,Top25
7,University of Pennsylvania ,USA,0,Top25
8,University of Wisconsin-Madison,USA,1,Top25
9,Michigan State University,USA,0,Top25
10,New York University,United States,1,Top25
11,"Goldsmiths, University of London",UK,1,Top25
12,"University of California, Berkeley",United States,0,Top25
13,University of Michigan-Ann Arbor,USA,0,Top25
14,Massachusetts Institute of Technology,United States,0,Top25
15,University of Vienna,Austria,0,Top25
16,Columbia University,USA,2,Top25
17,Northwestern University,USA,1,Top25
18,"University of California, Los Angeles (UCLA)",USA,0,Top25
19,Queensland University of Technology (QUT),Australia,0,Top25
20,The Chinese University of Hong Kong (CUHK),China,0,Top25
21,University of Zurich,Switzerland,0,Top25
22,Ludwig-Maximilians-Universität München,Germany,0,Top25
23,National University of Singapore (NUS),Singapore,0,Top25
24,University of Leeds,UK,0,Top25
25,Pennsylvania State University - University Park,USA,0,Top25
26,King's College London,UK,1,Last25
27,The Ohio State University,USA,1,Last25
28,Yale University,USA,0,Last25
29,Cardiff University,UK,0,Last25
30,"University of California, Santa Barbara (UCSB)",USA,1,Last25
31,University of Illinois at Urbana-Champaign,USA,0,Last25
32,University of Copenhagen,Denmark,0,Last25
33,University of Toronto,Canada,0,Last25
34,Cornell University,USA,1,Last25
35,The University of Sydney,Australia,0,Last25
36,UCL,United Kingdom,0,Last25
37,Seoul National University,Korea,2,Last25
38,Tsinghua University,China,1,Last25
39,Freie Universitaet Berlin,Germany,0,Last25
40,The University of Melbourne,Australia,1,Last25
41,University of Washington,USA,1,Last25
42,RMIT University,Australia,0,Last25
43,Yonsei University,Korea,1,Last25
44,University of Helsinki,Finland,0,Last25
45,The University of Edinburgh,United Kingdom,0,Last25
46,University of North Carolina at Chapel Hill,USA,0,Last25
47,Aarhus University,Denmark,0,Last25
48,University of British Columbia,Canada,0,Last25
49,Peking University,China,1,Last25
50,"University of Missouri, Columbia",United States,0,Last25